word	meaning	example
mimic	흉내 내다, 모방하다; 모방하는	She’s always mimicking the teachers.
mimicry	흉내, 모방	The insect uses mimicry to avoid predators.
mainstream	주류의, 일반적인 흐름	His radical views place him outside the mainstream of American politics.
ellipse	타원	The Earth orbits the sun in an ellipse.
derive	끌어내다, 유래하다, 파생되다	"The background looks like it's derived from the movie, ""Frozen""."
conference	회의, 학회, 컨퍼런스	She presented her research at an international conference.
basalt	현무암	Basalt is a dark volcanic rock.
volcanic	화산의, 화산과 관련된	The island is famous for its volcanic landscape.
dormant volcano	휴화산	A dormant volcano may become active again.
volcanic rock	화산암	The path was covered with volcanic rock.
tact	요령, 눈치, 재치 (=sensitivity)	She handled the criticism with tact.
tactile	촉각적인, 만질 듯한 질감의	visual and tactile communication
layered	겹겹이 쌓인, 층위가 있는	The exhibition used layered images and sound.
atmosphere	분위기	These plants love warm, humid atmospheres.
stiff	뻣뻣한, 단단한, 경직된	The windows were stiff and she couldn’t get them open.
facade	정면, 겉면, 겉보기	She managed to maintain a facade of indifference.
ample	충분한 (=plenty of), 풍만한	The hotel is centrally situated with ample free parking
amplify	확대하다, 증폭하다, 더 강하게 하다	You may need to amplify this point.
explicit	명확한, 분명한, 노골적인	He gave me very explicit directions on how to get there.
somewhat	어느 정도, 약간, 다소	I was somewhat surprised to see him.
somehow	어떻게든, 왠지, 어떤 식으로든	We must stop him from seeing her somehow.
hand over	넘겨주다, 인계하다	Hand over the money!
contemplate	고려하다,생각하다[예상하다], 심사숙고하다	I can’t contemplate what it would be like to be alone.
meditate	명상하다, 깊이 생각하다	She meditates for ten minutes every morning.
meditative	명상적인, 깊이 생각에 잠긴	The room had a quiet, meditative atmosphere.
tempt	(좋지 않은 일을 하도록) 유혹하다[부추기다]	I was tempted by the dessert menu.
temptation	유혹, 하고 싶은 충동	I couldn’t resist the temptation to open the letter.
abstract	추상적인, 요약, 초록, 추출하다	We may talk of beautiful things but beauty itself is abstract.
underneath	아래에, 아래쪽에	The coin rolled underneath the piano.
utilise	활용하다	The Romans were the first to utilise concrete as a building material.
utility	공익사업, 유용성(=usefulness), 다용도의	The new app has practical utility for students.
embassy	대사관	crowd began to collect in front of the embassy.
acquire	습득하다	She has acquired a good knowledge of English.
elicit	이끌어 내다	Her tears elicited great sympathy from her audience.
taper	점점 가늘어지다	However, the rains should taper off towards evening.
trickery	속임수	They don't cite outrageous statistical trickery.
aversion	반감, 혐오감	He had an aversion to getting up early.
cluster	무리, 집단, (작은 열매의)송이, (소규모로) 모이다	a little cluster of houses
accent	강조, 강세, 억양, (어떤 부분을) 강조하다	The teacher placed the accent on the second syllable.
accentuate	강조하다	This spring, dresses that accentuate femininity will be in vogue.
residue	잔여물	The residue of the estate was divided equally among his children.
relinquish	내주다, 포기하다	The cruel dictator refused to relinquish political power.
fashion	유행(하는 스타일), 인기, (손으로) 만들다[빚다]	She fashioned a pot from the clay.
in this regard	이 점에서, 이와 관련하여	In this regard, the results are encouraging.
in that regard	그 점에서, 그와 관련하여	In that regard, further research is needed.
customs union	관세 동맹	A customs union can reduce trade barriers.
economic efficiency	경제 효율성	The reform was designed to improve economic efficiency.
alligator	악어	An alligator was seen near the riverbank.
maternal	어미의, 모성의, 모계의, 외가 쪽의	my maternal grandfather
offspring	새끼, 자손	the problems parents have with their teenage offspring
encounter	맞닥뜨리다, 마주치다	We encountered a number of difficulties in the first week.
predation	포식, 포식 행위	According to the selfish herd theory, animals live in a pack in order to reduce predation risk.
predator	포식자	Birds are the major predator of the ladybug.
hatch	부화하다, 부화시키다	The eggs are about to hatch.
inflict	주다, 가하다	They surveyed the damage inflicted by the storm.
superficial	표면의, 외면의, 외견상의	The book shows only a superficial understanding of the historical context.
valuation	평가	Experts set a high valuation on the painting.
superb	최고의, 훌륭한, 멋진	She’s a superb lecturer.
eradicate	뿌리째 뽑다, 박멸하다, 근절하다	We are determined to eradicate racism from our sport.
pulp	과육, 펄프	The fruit was crushed into a soft pulp.
vary	바꾸다, 변경하다, 고치다	The students’ work varies considerably in quality.
optimistic	낙천주의의, 낙관적인	She felt light-hearted and optimistic.
nominee	지명된 사람	a presidential nominee
abbreviate	줄여 쓰다, 간략화하다, 생략하다	You are to abbreviate ‘Avenue’ as ‘Ave.’
abbreviation	축약, 약어	‘Dr’ is an abbreviation of ‘Doctor’.
vernal	봄의, 봄에 나는	the vernal equinox
vanquish	정복하다, 패배시키다, 완파하다 (=conquer)	The medicines that vanquish the cancer cells, could unfortunately leave some unpleasant side effects.
respond	대답하다, 반응하다	Please respond to the email by Friday.
objectify	객관화하다, 대상화하다, 구체화시키다	Beauty pageants should be banned because they objectify women and limit the idea of beauty.
commentary	논평, 주석, 설명	critical commentary on the final speech of the play
meteorology	기상학, 기상	Meteorology helps scientists predict severe weather.
resent	분개하다, 원망하다	I deeply resented her criticism.
curtail	짧게 줄이다, 단축하다	Spending on books has been severely curtailed.
household	가족, (한 집에 사는 사람들을 일컫는) 가정	Most households now own at least one car.
